Node,Time,Latency,Throughput
0,90.21030783653259,31,93
1,90.21030783653259,10,98
2,90.21030783653259,5239,18
3,90.21030783653259,48,89
4,90.21030783653259,3012,53
5,90.21030783653259,4199,48
6,90.21030783653259,4217,36
7,90.21030783653259,4208,1
8,90.21030783653259,3986,41
9,90.21030783653259,27,114
10,90.21030783653259,2898,62
11,90.21030783653259,2686,44
12,90.21030783653259,30235,318
0,95.21470022201538,36,90
1,95.21470022201538,15,96
2,95.21470022201538,5236,9
3,95.21470022201538,50,97
4,95.21470022201538,3016,61
5,95.21470022201538,4196,50
6,95.21470022201538,4221,27
7,95.21470022201538,4209,1
8,95.21470022201538,3982,49
9,95.21470022201538,23,112
10,95.21470022201538,2902,57
11,95.21470022201538,2690,52
12,95.21470022201538,30231,328
0,100.2334942817688,39,92
1,100.2334942817688,19,97
2,100.2334942817688,5232,5
3,100.2334942817688,48,96
4,100.2334942817688,3014,68
5,100.2334942817688,4200,60
6,100.2334942817688,4220,37
7,100.2334942817688,4211,1
8,100.2334942817688,3980,47
9,100.2334942817688,28,121
10,100.2334942817688,2904,50
11,100.2334942817688,2687,56
12,100.2334942817688,30236,334
0,105.25116467475891,35,100
1,105.25116467475891,17,106
2,105.25116467475891,5233,15
3,105.25116467475891,52,87
4,105.25116467475891,3019,62
5,105.25116467475891,4202,70
6,105.25116467475891,4220,32
7,105.25116467475891,4207,1
8,105.25116467475891,3975,41
9,105.25116467475891,29,129
10,105.25116467475891,2906,51
11,105.25116467475891,2688,60
12,105.25116467475891,30234,337
0,110.26616764068604,34,105
1,110.26616764068604,16,101
2,110.26616764068604,5230,14
3,110.26616764068604,54,97
4,110.26616764068604,3016,70
5,110.26616764068604,4207,69
6,110.26616764068604,4215,22
7,110.26616764068604,4209,1
8,110.26616764068604,3980,48
9,110.26616764068604,33,124
10,110.26616764068604,2906,60
11,110.26616764068604,2684,57
12,110.26616764068604,30238,333
0,115.27074861526489,34,112
1,115.27074861526489,16,97
2,115.27074861526489,5228,11
3,115.27074861526489,55,91
4,115.27074861526489,3019,75
5,115.27074861526489,4212,68
6,115.27074861526489,4215,25
7,115.27074861526489,4206,1
8,115.27074861526489,3983,49
9,115.27074861526489,35,131
10,115.27074861526489,2906,66
11,115.27074861526489,2681,64
12,115.27074861526489,30233,333
